,filename,nb_streams,nb_programs,format_name,format_long_name,start_time,duration,size,bit_rate,probe_score,tags,class
0,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
2,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
3,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
4,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
5,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
6,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
7,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
8,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
9,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
10,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/-1l5631l3fg_0.avi,1.0,0.0,avi,AVI (Audio Video Interleaved),0.000000,5.000000,2465594,3944950,100.0,{'encoder': 'Lavf58.20.100'},1.0
