,0,1,2
0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/JPIeYvRgo6I_0-13281ef829_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/JPIeYvRgo6I_0-13281ef829_1_contrast_crop.mp4,1
1,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/JPIeYvRgo6I_1-190832a334_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/JPIeYvRgo6I_1-190832a334_1_contrast_crop.mp4,1
2,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Jq8neqBlL2Y_2-83d6a2f8dc_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/Jq8neqBlL2Y_2-83d6a2f8dc_1_contrast_crop.mp4,1
3,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Jq8neqBlL2Y_3-a457282b56_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/Jq8neqBlL2Y_3-a457282b56_1_contrast_crop.mp4,1
4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Jq8neqBlL2Y_4-68c77c1b27_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/Jq8neqBlL2Y_4-68c77c1b27_1_contrast_crop.mp4,1
5,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Jq8neqBlL2Y_5-f5e1487195_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/Jq8neqBlL2Y_5-f5e1487195_1_contrast_crop.mp4,1
6,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/JRL5Vvql_0-9c1daeb7ad_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/JRL5Vvql_0-9c1daeb7ad_1_contrast_crop.mp4,1
7,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/JRL5Vvql_1-74655c5512_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/JRL5Vvql_1-74655c5512_1_contrast_crop.mp4,1
8,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Jt4WbOZeT7s_0-0199efbf6e_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/Jt4WbOZeT7s_0-0199efbf6e_1_contrast_crop.mp4,1
9,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/jTbvVbkUaPM_0-c9dee5daa2_1_contrast_blur.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_crop/train/jTbvVbkUaPM_0-c9dee5daa2_1_contrast_crop.mp4,1
