,index,label,segment_path,video_class,video_name,dataset,resized,bright,contrast,flip_lr,hue_adjust
3376,749,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/zuCTuKvj_5.avi,Fighting,zuCTuKvj_5,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/zuCTuKvj_5-3c2b8a5dd5_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/zuCTuKvj_5-3c2b8a5dd5_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/zuCTuKvj_5-3c2b8a5dd5_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/zuCTuKvj_5-3c2b8a5dd5_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/zuCTuKvj_5-3c2b8a5dd5_1_hue_adjust.mp4
3377,750,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/ZVPU5c95_0.avi,Fighting,ZVPU5c95_0,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_0-89eb315b93_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_0-89eb315b93_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_0-89eb315b93_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_0-89eb315b93_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_0-89eb315b93_1_hue_adjust.mp4
3378,751,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/ZVPU5c95_1.avi,Fighting,ZVPU5c95_1,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_1-9c86ef6e68_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_1-9c86ef6e68_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_1-9c86ef6e68_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_1-9c86ef6e68_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/ZVPU5c95_1-9c86ef6e68_1_hue_adjust.mp4
3379,752,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/_2RYnSFPD_U_0.avi,Fighting,_2RYnSFPD_U_0,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_2RYnSFPD_U_0-b7138172e3_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_2RYnSFPD_U_0-b7138172e3_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_2RYnSFPD_U_0-b7138172e3_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_2RYnSFPD_U_0-b7138172e3_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_2RYnSFPD_U_0-b7138172e3_1_hue_adjust.mp4
3380,753,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/_6-B11R9FJM_0.avi,Fighting,_6-B11R9FJM_0,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_0-3119a0fa26_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_0-3119a0fa26_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_0-3119a0fa26_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_0-3119a0fa26_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_0-3119a0fa26_1_hue_adjust.mp4
3381,754,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/_6-B11R9FJM_1.avi,Fighting,_6-B11R9FJM_1,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_1-30faa4a4b7_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_1-30faa4a4b7_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_1-30faa4a4b7_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_1-30faa4a4b7_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_1-30faa4a4b7_1_hue_adjust.mp4
3382,755,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/_6-B11R9FJM_2.avi,Fighting,_6-B11R9FJM_2,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_2-faa676a0e0_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_2-faa676a0e0_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_2-faa676a0e0_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_2-faa676a0e0_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_2-faa676a0e0_1_hue_adjust.mp4
3383,756,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/_6-B11R9FJM_3.avi,Fighting,_6-B11R9FJM_3,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_3-344b911b72_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_3-344b911b72_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_3-344b911b72_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_3-344b911b72_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_3-344b911b72_1_hue_adjust.mp4
3384,757,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/_6-B11R9FJM_4.avi,Fighting,_6-B11R9FJM_4,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_4-a92b6c14b2_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_4-a92b6c14b2_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_4-a92b6c14b2_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_4-a92b6c14b2_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_6-B11R9FJM_4-a92b6c14b2_1_hue_adjust.mp4
3385,758,1,/content/drive/MyDrive/ucf_experiments/data/rwf/RWF-2000/train/Fight/_q5Nwh4Z6ao_0.avi,Fighting,_q5Nwh4Z6ao_0,rwf2000,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_q5Nwh4Z6ao_0-82546954f2_1_resized.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_q5Nwh4Z6ao_0-82546954f2_1_bright.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_q5Nwh4Z6ao_0-82546954f2_1_contrast.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_q5Nwh4Z6ao_0-82546954f2_1_flip_lr.mp4,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/augmented_train/_q5Nwh4Z6ao_0-82546954f2_1_hue_adjust.mp4
