,video_path,label,new_path
9670,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Robbery086_x264-4a3fe924a6_1_contrast_blur.mp4,1,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Robbery086_x264-4a3fe924a6_1_contrast_blur.mp4
9671,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Fighting002_x264-78dbadf844_0_contrast_blur.mp4,0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Fighting002_x264-78dbadf844_0_contrast_blur.mp4
9672,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Robbery009_x264-06ec13c5b9_1_contrast_blur.mp4,1,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Robbery009_x264-06ec13c5b9_1_contrast_blur.mp4
9673,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Arrest025_x264-4e18e79bdd_0_contrast_blur.mp4,0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Arrest025_x264-4e18e79bdd_0_contrast_blur.mp4
9674,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Assault008_x264-91914a280c_1_contrast_blur.mp4,1,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Assault008_x264-91914a280c_1_contrast_blur.mp4
9675,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Robbery054_x264-16229527a6_0_contrast_blur.mp4,0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Robbery054_x264-16229527a6_0_contrast_blur.mp4
9676,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Abuse003_x264-d479e57b5f_0_contrast_blur.mp4,0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Abuse003_x264-d479e57b5f_0_contrast_blur.mp4
9677,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Fighting008_x264-6fb2924336_0_contrast_blur.mp4,0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Fighting008_x264-6fb2924336_0_contrast_blur.mp4
9678,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Arrest017_x264-541fe8fb1a_0_contrast_blur.mp4,0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Arrest017_x264-541fe8fb1a_0_contrast_blur.mp4
9679,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/train/Robbery098_x264-ff289de4ec_0_contrast_blur.mp4,0,/content/drive/MyDrive/ucf_experiments/ciclo_experimental_1/data/data_blur/uniform_samples/train/Robbery098_x264-ff289de4ec_0_contrast_blur.mp4
